umlsid,phenotype,hpoid,cr
C0221182,Chordee,HP:0000041,PT
C1848869,Absent external genitalia,HP:0000042,PT
C1858539,Shawl scrotum,HP:0000049,PT
C0266298,Renal duplication,HP:0000075,PT
C4021821,Abnormality of the urinary system,HP:0000079,PT
C1858565,Duplicated collecting system,HP:0000081,PT
C1565489,Renal insufficiency,HP:0000083,PT
C0221353,Horseshoe kidney,HP:0000085,PT
C0017668,Focal segmental glomerulosclerosis,HP:0000097,PT
C1846348,Renal potassium wasting,HP:0000128,PT
C0018051,Gonadal dysgenesis,HP:0000133,PT
C0425913,Aplasia of the uterus,HP:0000151,PT
C0024421,Macroglossia,HP:0000158,PT
C0025988,Microglossia,HP:0000171,PT
C0432098,Cleft soft palate,HP:0000185,PT
C1398312,Narrow palate,HP:0000189,PT
C4021813,Oral cleft,HP:0000202,PT
C0008924,Cleft upper lip,HP:0000204,PT
C1846423,Thick upper lip vermilion,HP:0000215,PT
C0043352,Xerostomia,HP:0000217,PT
C0017565,Gingival bleeding,HP:0000225,PT
C4025875,Abnormality of the anterior fontanelle,HP:0000236,PT
C4551563,Microcephaly,HP:0000252,PT
C1853737,Prominent occiput,HP:0000269,PT
C0277828,Delayed cranial suture closure,HP:0000270,PT
C1858085,Malar flattening,HP:0000272,PT
C1839758,Narrow forehead,HP:0000341,PT
C1845250,Small forehead,HP:0000350,PT
C4021806,Prelingual sensorineural hearing impairment,HP:0000399,PT
C1843156,Progressive sensorineural hearing impairment,HP:0000408,PT
C1857645,Slender nose,HP:0000417,PT
C1840077,Anteverted nares,HP:0000463,PT
C0266623,Abnormality of the neck,HP:0000464,PT
C1853638,Broad neck,HP:0000475,PT
C0155119,Recurrent corneal erosions,HP:0000495,PT
C3665347,Visual impairment,HP:0000505,PT
C0476397,Abnormal electroretinogram,HP:0000512,PT
C0235259,Subcapsular cataract,HP:0000523,PT
C4025843,Abnormality of refraction,HP:0000539,PT
C1846463,Impaired ocular adduction,HP:0000542,PT
C4551507,Buphthalmos,HP:0000557,PT
C0014877,Esotropia,HP:0000565,PT
C0036454,Scotoma,HP:0000575,PT
C0271196,Centrocecal scotoma,HP:0000576,PT
C1832170,Punctate corneal epithelial erosions,HP:0000584,PT
C0009363,Coloboma,HP:0000589,PT
C0266589,Abnormality of the ear,HP:0000598,PT
C0152191,Central scotoma,HP:0000603,PT
C0026205,Miosis,HP:0000616,PT
C0578626,Blue irides,HP:0000635,PT
C0029124,Optic atrophy,HP:0000648,PT
C0020608,Hypodontia,HP:0000668,PT
C1849538,Delayed eruption of primary teeth,HP:0000680,PT
C0024636,Dental malocclusion,HP:0000689,PT
C0233514,Behavioral abnormality,HP:0000708,PT
C0600104,Obsessive-compulsive behavior,HP:0000722,PT
C0338455,Frontal lobe dementia,HP:0000727,PT
C1837649,Impaired ability to form peer relationships,HP:0000728,PT
C1833297,Frontal release signs,HP:0000743,PT
C4025832,Autism with high cognitive abilities,HP:0000753,PT
C0018418,Gynecomastia,HP:0000771,PT
C0426790,Narrow chest,HP:0000774,PT
C0262650,Abnormality of the thymus,HP:0000777,PT
C0017662,Membranoproliferative glomerulonephritis,HP:0000793,PT
C4025826,Abnormality of the urethra,HP:0000795,PT
C0014394,Enuresis,HP:0000805,PT
C0020676,Hypothyroidism,HP:0000821,PT
C4025821,Anterior hypopituitarism,HP:0000830,PT
C4316995,Primary hypothyroidism,HP:0000832,PT
C0001623,Adrenal insufficiency,HP:0000846,PT
C4025820,Adrenocortical abnormality,HP:0000849,PT
C3278636,Neonatal insulin-dependent diabetes mellitus,HP:0000857,PT
C0677607,Hashimoto thyroiditis,HP:0000872,PT
C0426805,Lateral clavicle hook,HP:0000895,PT
C0265695,Rib fusion,HP:0000902,PT
C1854780,Flaring of rib cage,HP:0000904,PT
C4021789,Abnormality of the vertebral column,HP:0000925,PT
C4025818,Abnormality of skeletal maturation,HP:0000927,PT
C4025817,Elevated imprint of the transverse sinuses,HP:0000930,PT
C0029453,Osteopenia,HP:0000938,PT
C0086795,Dysostosis multiplex,HP:0000943,PT
C0424731,Single transverse palmar crease,HP:0000954,PT
C0221263,Cafe-au-lait spot,HP:0000957,PT
C0151908,Dry skin,HP:0000958,PT
C0020620,Hypohidrosis,HP:0000966,PT
C0022596,Palmoplantar hyperkeratosis,HP:0000972,PT
C4021786,Atypical scarring of skin,HP:0000987,PT
C0043325,Xanthomatosis,HP:0000991,PT
C0027962,Melanocytic nevus,HP:0000995,PT
C4025812,Dermatological manifestations of systemic disorders,HP:0001005,PT
C0221252,Eruptive xanthomas,HP:0001013,PT
C4025810,Abnormal palmar dermatoglyphics,HP:0001018,PT
C1849043,"Soft, doughy skin",HP:0001027,PT
C0018916,Hemangioma,HP:0001028,PT
C0392777,Poikiloderma,HP:0001029,PT
C1842774,Hypermelanotic macule,HP:0001034,PT
C0221347,Acrocyanosis,HP:0001063,PT
C0008350,Cholelithiasis,HP:0001081,PT
C1867060,Absent lacrimal punctum,HP:0001092,PT
C1844606,Periorbital hyperpigmentation,HP:0001106,PT
C0155210,Xanthelasma,HP:0001114,PT
C0239119,Lenticonus,HP:0001142,PT
C1836479,Saccadic smooth pursuit,HP:0001152,PT
C4021785,Abnormality of the metacarpal bones,HP:0001163,PT
C0426870,Large hands,HP:0001176,PT
C0426886,Tapered finger,HP:0001182,PT
C1859368,Camptodactyly of 2nd-5th fingers,HP:0001215,PT
C4021784,Interphalangeal joint contracture of finger,HP:0001220,PT
C0241760,Wrist swelling,HP:0001225,PT
C0432055,2-3 finger syndactyly,HP:0001233,PT
C3714756,Intellectual disability,HP:0001249,PT
C0023380,Lethargy,HP:0001254,PT
C0085583,Choreoathetosis,HP:0001266,PT
C4082299,Bulbar palsy,HP:0001283,PT
C1858120,Generalized hypotonia,HP:0001290,PT
C3806961,Giant somatosensory evoked potentials,HP:0001312,PT
C2267233,Neonatal hypotonia,HP:0001319,PT
C0266470,Cerebellar hypoplasia,HP:0001321,PT
C0013421,Dystonia,HP:0001332,PT
C0266463,Lissencephaly,HP:0001339,PT
C3552825,Jerk-locked premyoclonus spikes,HP:0001351,PT
C0221355,Megalencephaly,HP:0001355,PT
C1844820,Joint hypermobility,HP:0001382,PT
C0023890,Cirrhosis,HP:0001394,PT
C0239946,Hepatic fibrosis,HP:0001395,PT
C0232744,Decreased liver function,HP:0001410,PT
C1843995,Enteroviral hepatitis,HP:0001412,PT
C1847879,X-linked dominant inheritance,HP:0001423,PT
C0019214,Hepatosplenomegaly,HP:0001433,PT
C4025766,Aplasia/Hypoplasia of the musculature of the pelvis,HP:0001471,PT
C0016689,Freckling,HP:0001480,PT
C0262361,Growth abnormality,HP:0001507,PT
C1849265,Overgrowth,HP:0001548,PT
C0266036,Macrodontia,HP:0001572,PT
C1968851,Pigmented micronodular adrenocortical disease,HP:0001580,PT
C0042928,Vocal cord paralysis,HP:0001605,PT
C1527344,Dysphonia,HP:0001618,PT
C0241700,Weak voice,HP:0001621,PT
C0151526,Premature birth,HP:0001622,PT
C0006157,Breech presentation,HP:0001623,PT
C0007193,Dilated cardiomyopathy,HP:0001644,PT
C0026266,Mitral regurgitation,HP:0001653,PT
C0016522,Patent foramen ovale,HP:0001655,PT
C0344724,Secundum atrial septal defect,HP:0001684,PT
C0031046,Pericarditis,HP:0001701,PT
C0007196,Restrictive cardiomyopathy,HP:0001723,PT
C0030305,Pancreatitis,HP:0001733,PT
C0345326,Phimosis,HP:0001741,PT
C0600031,Asplenia,HP:0001746,PT
C0549629,Abnormal delivery,HP:0001787,PT
C1856963,Fragile nails,HP:0001808,PT
C0018536,Hallux valgus,HP:0001822,PT
C4025746,Genital tract atresia,HP:0001827,PT
C1865038,Broad toe,HP:0001837,PT
C0920299,Overlapping toe,HP:0001845,PT
C4021771,Short distal phalanx of toe,HP:0001857,PT
C0427515,Abnormality of neutrophils,HP:0001874,PT
C0002878,Hemolytic anemia,HP:0001878,PT
C0836924,Thrombocytosis,HP:0001894,PT
C0002896,Sideroblastic anemia,HP:0001924,PT
C4021768,Abnormality of metabolism/homeostasis,HP:0001939,PT
C1865292,Nonketotic hypoglycemia,HP:0001958,PT
C0030252,Palpitations,HP:0001962,PT
C0220982,Ketoacidosis,HP:0001993,PT
C1839783,Large forehead,HP:0002003,PT
C0685787,Facial cleft,HP:0002006,PT
C0266619,Potter facies,HP:0002009,PT
C4317146,Gastroesophageal reflux,HP:0002020,PT
C1839531,Protein avoidance,HP:0002038,PT
C1845107,Heavy supraorbital ridges,HP:0002054,PT
C1844572,Curved linear dimple below the lower lip,HP:0002055,PT
C1860247,Prominent glabella,HP:0002057,PT
C0751837,Gait ataxia,HP:0002066,PT
C0476273,Respiratory distress,HP:0002098,PT
C0032231,Pleuritis,HP:0002102,PT
C0242528,Azotemia,HP:0002157,PT
C1854827,Heparan sulfate excretion in urine,HP:0002159,PT
C0003635,Apraxia,HP:0002186,PT
C4021758,Delayed CNS myelination,HP:0002188,PT
C1847117,Dilated fourth ventricle,HP:0002198,PT
C0035232,Respiratory paralysis,HP:0002203,PT
C0034065,Pulmonary embolism,HP:0002204,PT
C1843428,Diffuse reticular or finely nodular infiltrations,HP:0002207,PT
C0263498,Premature graying of hair,HP:0002216,PT
C1858573,Sparse pubic hair,HP:0002225,PT
C1848453,Poor motor coordination,HP:0002275,PT
C0019937,Horner syndrome,HP:0002277,PT
C0263505,Alopecia universalis,HP:0002289,PT
C1857048,Progressive hypotrichosis,HP:0002296,PT
C0239803,Red hair,HP:0002297,PT
C0574763,Absent hair,HP:0002298,PT
C0263490,Brittle hair,HP:0002299,PT
C0018991,Hemiplegia,HP:0002301,PT
C0085623,Akinesia,HP:0002304,PT
C0037771,Spastic paraparesis,HP:0002313,PT
C4025713,Paroxysmal drowsiness,HP:0002330,PT
C0850703,Frequent falls,HP:0002359,PT
C1836842,Psychomotor deterioration,HP:0002361,PT
C1842688,Hypoplasia of the brainstem,HP:0002365,PT
C0542223,Loss of speech,HP:0002371,PT
C4025710,Diminished movement,HP:0002374,PT
C0427065,Distal muscle weakness,HP:0002460,PT
C0023015,Language impairment,HP:0002463,PT
C0002395,Alzheimer disease,HP:0002511,PT
C0270680,Brain stem compression,HP:0002512,PT
C0085639,Falls,HP:0002527,PT
C3887667,Retrocollis,HP:0002544,PT
C1838027,Incomprehensible speech,HP:0002546,PT
C0018932,Hematochezia,HP:0002573,PT
C0042961,Volvulus,HP:0002580,PT
C0017154,Chronic atrophic gastritis,HP:0002582,PT
C0015732,Bowel incontinence,HP:0002607,PT
C0007570,Celiac disease,HP:0002608,PT
C0860204,Cholestatic liver disease,HP:0002611,PT
C0042384,Vasculitis,HP:0002633,PT
C1857693,Arteriovenous fistulas of celiac and mesenteric vessels,HP:0002642,PT
C4025692,Abnormality of calvarial morphology,HP:0002648,PT
C0024299,Lymphoma,HP:0002665,PT
C0031511,Pheochromocytoma,HP:0002666,PT
C0029463,Osteosarcoma,HP:0002669,PT
C1861217,Small foramen magnum,HP:0002677,PT
C1846437,Deformed sella turcica,HP:0002681,PT
C0222706,Parietal foramina,HP:0002697,PT
C1844508,Large foramen magnum,HP:0002700,PT
C1837404,"High, narrow palate",HP:0002705,PT
C0399605,Commissural lip pit,HP:0002710,PT
C4021753,Abnormality of the immune system,HP:0002715,PT
C1833325,Thin bony cortex,HP:0002753,PT
C0029408,Osteoarthritis,HP:0002758,PT
C1836308,Generalized joint laxity,HP:0002761,PT
C0340231,Tracheobronchomalacia,HP:0002786,PT
C1837388,Abnormal pattern of respiration,HP:0002793,PT
C4721411,Osteolysis,HP:0002797,PT
C0332878,Congenital contracture,HP:0002803,PT
C4021749,Cystic angiomatosis of bone,HP:0002833,PT
C4025673,Recurrent Burkholderia cepacia infections,HP:0002842,PT
C1847383,Absence of lymph node germinal center,HP:0002849,PT
C1333944,Paraganglioma of head and neck,HP:0002864,PT
C0231807,Exertional dyspnea,HP:0002875,PT
C1843643,Nocturnal hypoventilation,HP:0002877,PT
C1145670,Respiratory failure,HP:0002878,PT
C0206624,Hepatoblastoma,HP:0002884,PT
C0014474,Ependymoma,HP:0002888,PT
C0032000,Pituitary adenoma,HP:0002893,PT
C0030297,Neoplasm of the pancreas,HP:0002894,PT
C0020621,Hypokalemia,HP:0002900,PT
C0151723,Hypomagnesemia,HP:0002917,PT
C1184923,Lumbar hyperlordosis,HP:0002938,PT
C1184919,Thoracic kyphosis,HP:0002942,PT
C1857790,Thoracic scoliosis,HP:0002943,PT
C0575170,Cervical kyphosis,HP:0002947,PT
C4021832,Abnormality of the calf,HP:0002981,PT
C2720437,Elbow dislocation,HP:0003042,PT
C1854786,Epiphyseal deformities of tubular bones,HP:0003053,PT
C0003869,Septic arthritis,HP:0003095,PT
C0268079,Hyperphosphaturia,HP:0003109,PT
C0020599,Hypocalciuria,HP:0003127,PT
C0268594,Glutaric aciduria,HP:0003150,PT
C0020500,Hyperoxaluria,HP:0003159,PT
C3806447,Increased urinary taurine,HP:0003166,PT
C4021738,Abnormality of the pubic bone,HP:0003172,PT
C1848579,Decreased methylmalonyl-CoA mutase activity,HP:0003210,PT
C1852407,Prominent scrotal raphe,HP:0003246,PT
C1851722,Overgrowth of external genitalia,HP:0003247,PT
C0151281,Genital ulcers,HP:0003249,PT
C0024003,Hyperlordosis,HP:0003307,PT
C4025632,Abnormal hair laboratory examination,HP:0003328,PT
C4025627,Focal necrosis of right ventricular muscle cells,HP:0003338,PT
C1845206,Decreased circulating renin level,HP:0003351,PT
C0238621,Aminoaciduria,HP:0003355,PT
C0427149,Steppage gait,HP:0003376,PT
C0039144,Syringomyelia,HP:0003396,PT
C4025617,Atlantoaxial abnormality,HP:0003413,PT
C1834954,Coronal cleft vertebrae,HP:0003417,PT
C0476403,EMG abnormality,HP:0003457,PT
C0522224,Paralysis,HP:0003470,PT
C0013336,Severe short stature,HP:0003510,PT
C4025605,Reduced ratio of renal calcium clearance to creatinine clearance,HP:0003513,PT
C1848580,Decreased methionine synthase activity,HP:0003524,PT
C4025598,Urinary glycosaminoglycan excretion,HP:0003541,PT
C1853701,Muscle hyperirritability,HP:0003559,PT
C4025594,Positive regitine blocking test,HP:0003574,PT
C1836142,Congenital onset,HP:0003577,PT
C1848924,Infantile onset,HP:0003593,PT
C4025591,Absent urinary urothione,HP:0003606,PT
C4025589,Positive ferric chloride test,HP:0003612,PT
C1839865,Bicarbonaturia,HP:0003646,PT
C4025586,Electron transfer flavoprotein-ubiquinone oxidoreductase defect,HP:0003647,PT
C4025585,Lacticaciduria,HP:0003648,PT
C4025579,Large beaked nose,HP:0003683,PT
C0241237,Difficulty standing,HP:0003698,PT
C3806442,Myoclonic spasms,HP:0003739,PT
C4025572,Episodic flaccid weakness,HP:0003752,PT
C1844509,Antegonial notching of mandible,HP:0003779,PT
C0852413,Abnormal muscle tone,HP:0003808,PT
C0595939,Stillbirth,HP:0003826,PT
C4025553,Normal density transverse bands in metaphyses of the upper limbs,HP:0003852,PT
C4025552,Sclerosis with transverse striations in metaphyses of the upper limbs,HP:0003853,PT
C4025551,Sclerosis of metaphyses of the upper limbs,HP:0003854,PT
C4025547,Diaphyseal sclerosis of the upper limbs,HP:0003860,PT
C2678399,Absent humerus,HP:0003862,PT
C4025535,Osteoporotic humerus,HP:0003876,PT
C4025530,Triangular humerus,HP:0003884,PT
C4021714,Abnormality of the humeral epiphysis,HP:0003891,PT
C4021713,Absent humeral epiphyseal ossification,HP:0003892,PT
C4025525,Flattened humeral epiphyses,HP:0003895,PT
C4025518,Abnormality of the humeral epiphyseal plate,HP:0003905,PT
C4025514,Frayed humeral metaphyses,HP:0003912,PT
C4025509,Sclerotic humeral metaphysis,HP:0003918,PT
C4025496,Sclerosis of humeral diaphysis,HP:0003933,PT
C4025495,Slender humeral diaphysis,HP:0003934,PT
C4025487,Delayed elbow epiphyseal ossification,HP:0003947,PT
C4025486,Irregular epiphyses of the elbow,HP:0003948,PT
C4021703,Distal humeral metaphyseal irregularity,HP:0003951,PT
C4021701,Absent forearm bone,HP:0003953,PT
C4025480,Cross-fusion of the forearm bones,HP:0003958,PT
C4025479,Deformed forearm bones,HP:0003959,PT
C4025466,Pseudarthrosis of the radius,HP:0003980,PT
C4021694,Abnormality of radial epiphyses,HP:0003999,PT
C4025443,Cupped radial metaphyses,HP:0004016,PT
C4025434,Abnormality of radial diaphysis,HP:0004027,PT
C4025429,Curved olecranon,HP:0004033,PT
C4025418,Spurred ulnar metaphysis,HP:0004046,PT
C4021687,Wide ulnar metaphysis,HP:0004047,PT
C1969236,Mitten deformity,HP:0004057,PT
C4025414,Radial club hand,HP:0004059,PT
C4025399,Proximally placed carpal bones,HP:0004239,PT
C4025398,Sclerotic foci within carpal bones,HP:0004240,PT
C4025395,Comma-shaped scaphoid,HP:0004245,PT
C4025366,Sclerosis of hand bones with transverse striations,HP:0004290,PT
C0043094,Increased body weight,HP:0004324,PT
C4021659,Abnormality of vitamin B metabolism,HP:0004340,PT
C4025347,Weakness of muscles of respiration,HP:0004347,PT
C4021657,Abnormality of bone mineral density,HP:0004348,PT
C4025334,Abnormality of glycolysis,HP:0004366,PT
C0234428,Reduced consciousness/confusion,HP:0004372,PT
C0376545,Hematological neoplasm,HP:0004377,PT
C0236048,Multiple gastric polyps,HP:0004394,PT
C0266231,Ectopic anus,HP:0004397,PT
C4025326,Abnormality of the pylorus,HP:0004400,PT
C3809715,"Spontaneous, recurrent epistaxis",HP:0004406,PT
C4021655,Abnormality of the sense of smell,HP:0004408,PT
C0021775,Intermittent claudication,HP:0004417,PT
C0085110,Severe combined immunodeficiency,HP:0004430,PT
C0677598,Stomatocytosis,HP:0004446,PT
C1969394,Congenital earlobe sinuses,HP:0004461,PT
C1836600,Atretic occipital cephalocele,HP:0004470,PT
C1970112,Aplasia cutis congenita over the scalp vertex,HP:0004471,PT
C1849537,Persistent open anterior fontanelle,HP:0004474,PT
C4025315,Large clumps of pigment irregularly distributed along hair shaft,HP:0004527,PT
C1866732,Increased anterior vertebral height,HP:0004581,PT
C1860202,Unossified vertebral bodies,HP:0004606,PT
C4025306,Anterior beaking of lower thoracic vertebrae,HP:0004607,PT
C1843276,Reversible renal failure,HP:0004713,PT
C2586056,Permanent atrial fibrillation,HP:0004754,PT
C0235480,Paroxysmal atrial fibrillation,HP:0004757,PT
C1849125,Premature graying of body hair,HP:0004771,PT
C1860244,Malrotation of small bowel,HP:0004794,PT
C0341266,Duodenal diverticula,HP:0004800,PT
C0002881,Congenital hemolytic anemia,HP:0004804,PT
C1868252,Post-transfusion thrombocytopenia,HP:0004813,PT
C4025287,Folate-unresponsive megaloblastic anemia,HP:0004826,PT
C0398639,Amegakaryocytic thrombocytopenia,HP:0004859,PT
C0561921,Perineal fistula,HP:0004871,PT
C4025280,Respiratory infections in early life,HP:0004880,PT
C0265763,Congenital laryngeal stridor,HP:0004886,PT
C4021644,Recurrent infantile hypoglycemia,HP:0004914,PT
C1836653,Ascending aortic dissection,HP:0004933,PT
C0342649,Vascular calcification,HP:0004934,PT
C0155675,Pulmonary arteriovenous fistulas,HP:0004952,PT
C4025265,Medial calcification of large arteries,HP:0004966,PT
C1832146,Metaphyseal rarefaction,HP:0004980,PT
C4025259,Dumbbell-shaped humerus,HP:0005009,PT
C1968607,Hypoplastic distal humeri,HP:0005025,PT
C1866239,Mesomelic/rhizomelic limb shortening,HP:0005026,PT
C1836193,Synostosis of carpal bones,HP:0005048,PT
C4025256,Arthralgia/arthritis,HP:0005059,PT
C1855301,Absent proximal radial epiphyses,HP:0005093,PT
C1408806,Calcification of the auricular cartilage,HP:0005103,PT
C4025244,Abnormal atrioventricular conduction,HP:0005150,PT
C1970625,Hypoplastic left atrium,HP:0005156,PT
C0040961,Tricuspid regurgitation,HP:0005180,PT
C1856140,Pericardial lymphangiectasia,HP:0005183,PT
C1560305,Prolonged QTc interval,HP:0005184,PT
C4025243,Progressive joint destruction,HP:0005187,PT
C0265669,Congenital knee dislocation,HP:0005191,PT
C4025240,Flattened metatarsal heads,HP:0005194,PT
C4025238,Generalized morning stiffness,HP:0005197,PT
C4025234,Duplication of internal organs,HP:0005217,PT
C3279407,Hypoplasia of the abdominal wall musculature,HP:0005247,PT
C4552766,Spontaneous abortion,HP:0005268,PT
C4021638,Absent nasal septal cartilage,HP:0005273,PT
C1856118,Prominent nasal tip,HP:0005274,PT
C4021637,Abnormality of the nares,HP:0005288,PT
C4025219,Nodular inflammatory vasculitis,HP:0005300,PT
C1970501,Hypoplastic pulmonary veins,HP:0005304,PT
C1867424,Pulmonary artery vasoconstriction,HP:0005308,PT
C1857206,Sparse lateral eyebrow,HP:0005338,PT
C4025213,Abnormality of complement system,HP:0005339,PT
C1396772,Hypoplasia of the epiglottis,HP:0005349,PT
C1855205,Susceptibility to chickenpox,HP:0005360,PT
C3150510,Abnormality of humoral immunity,HP:0005368,PT
C1846550,Decreased T cell activation,HP:0005419,PT
C1863246,Absent specific antibody response,HP:0005424,PT
C0272238,Transient hypogammaglobulinemia of infancy,HP:0005432,PT
C1848908,Maxillozygomatic hypoplasia,HP:0005439,PT
C4025193,Craniofacial osteosclerosis,HP:0005464,PT
C1969404,Prominent frontal sinuses,HP:0005478,PT
C0024314,Lymphoproliferative disorder,HP:0005523,PT
C1834582,Transient myeloproliferative syndrome,HP:0005534,PT
C4025179,Abnormality of the zygomatic arch,HP:0005557,PT
C3806616,"Macular hypopigmented whorls, streaks, and patches",HP:0005593,PT
C0232769,Gallbladder dysfunction,HP:0005609,PT
C1851310,Aplasia/hypoplasia of the femur,HP:0005613,PT
C1855418,Thoracolumbar kyphosis,HP:0005619,PT
C4025171,Trapezoidal shaped vertebral bodies,HP:0005621,PT
C4021630,Broad long bones,HP:0005622,PT
C1408532,Absent forearm,HP:0005632,PT
C4025167,Abnormal vertebral segmentation and fusion,HP:0005640,PT
C4025163,Moderate generalized osteoporosis,HP:0005653,PT
C4025156,Tongue-like lumbar vertebral deformities,HP:0005680,PT
C3553764,Joint hyperflexibility,HP:0005692,PT
C4025150,Flattened knee epiphyses,HP:0005715,PT
C4025149,Shortening of all metacarpals,HP:0005720,PT
C4025147,Shoe-shaped sella turcica,HP:0005723,PT
C4025140,1-2 toe complete cutaneous syndactyly,HP:0005767,PT
C1969181,Aplasia/Hypoplasia of the tibia,HP:0005772,PT
C4021621,Absent fourth finger distal interphalangeal crease,HP:0005780,PT
C1843331,Generalized osteosclerosis,HP:0005789,PT
C1867398,Posterior radial head dislocation,HP:0005798,PT
C1406835,Flexion contracture of toe,HP:0005830,PT
C1300267,Type B brachydactyly,HP:0005831,PT
C1859444,Dysharmonic delayed bone age,HP:0005832,PT
C1859135,Calcific stippling of infantile cartilaginous skeleton,HP:0005841,PT
C4025125,Diffuse cerebral calcification,HP:0005849,PT
C4025121,Metaphyseal enchondromatosis,HP:0005868,PT
C1847408,Brachytelomesophalangy,HP:0005872,PT
C4021618,Polysyndactyly of hallux,HP:0005873,PT
C0410648,Spinal instability,HP:0005881,PT
C4025115,Absent ossification of cervical vertebral bodies,HP:0005885,PT
C4025111,Radial deviation of thumb terminal phalanx,HP:0005895,PT
C0265290,Metaphyseal dysostosis,HP:0005899,PT
C4021616,Rhomboid or triangular shaped 5th finger middle phalanx,HP:0005910,PT
C0545617,Supernumerary metacarpal bones,HP:0005917,PT
C4025108,Abnormalities of the metaphyses of the hand,HP:0005923,PT
C4021612,Aplasia/hypoplasia involving bones of the hand,HP:0005927,PT
C4025098,Intermittent hyperpnea at rest,HP:0005941,PT
C0281890,Laryngeal web,HP:0005950,PT
C1837639,Intermittent hypothermia,HP:0005964,PT
C1840372,Mixed respiratory and metabolic acidosis,HP:0005967,PT
C1854704,Metabolic ketoacidosis,HP:0005979,PT
C0018023,Nodular goiter,HP:0005994,PT
C1862420,Tombstone-shaped proximal phalanges,HP:0006060,PT
C1861248,Fingerpad telangiectases,HP:0006107,PT
C1862479,Absent phalangeal crease,HP:0006109,PT
C1844822,Drumstick terminal phalanges,HP:0006129,PT
C4025085,Prominent proximal interphalangeal joints,HP:0006167,PT
C4025084,Tapered phalanx of finger,HP:0006192,PT
C4025074,Aplasia/Hypoplasia of the 5th finger,HP:0006262,PT
C4025070,Generalized hypoplasia of dental enamel,HP:0006282,PT
C1866510,Discolored lateral incisors,HP:0006290,PT
C4025068,Agenesis of maxillary central incisor,HP:0006293,PT
C1855642,Atrophy of alveolar ridges,HP:0006308,PT
C1855694,Hypoplasia of the primary teeth,HP:0006334,PT
C0266050,Persistence of primary teeth,HP:0006335,PT
C4025054,Agenesis of mandibular central incisor,HP:0006355,PT
C1970497,Crumpled long bones,HP:0006367,PT
C4021600,Distal ulnar epiphyseal stippling,HP:0006370,PT
C4025053,Broad long bone diaphyses,HP:0006371,PT
C1846160,Peg-like central prominence of distal tibial metaphyses,HP:0006423,PT
C1968943,Rudimentary to absent tibiae,HP:0006426,PT
C1857193,Multicentric ossification of proximal femoral epiphyses,HP:0006450,PT
C1851988,Dorsal subluxation of ulna,HP:0006459,PT
C1850854,Increased laxity of ankles,HP:0006460,PT
C4025038,Abnormality of the tibial metaphysis,HP:0006491,PT
C4021595,Abnormality of lower limb epiphysis morphology,HP:0006500,PT
C4025033,Aplasia/Hypoplasia involving the carpal bones,HP:0006502,PT
C4025030,Abnormality of tibial epiphyses,HP:0006508,PT
C0002390,Hypersensitivity pneumonitis,HP:0006516,PT
C0007120,Alveolar cell carcinoma,HP:0006519,PT
C0746102,Chronic lung disease,HP:0006528,PT
C0694550,Recurrent pneumonia,HP:0006532,PT
C0162557,Acute hepatic failure,HP:0006554,PT
C1859162,Neonatal cholestatic liver disease,HP:0006566,PT
C2004456,Macronodular cirrhosis,HP:0006577,PT
C1859236,Prolonged neonatal jaundice,HP:0006579,PT
C4025017,Fatal liver failure in infancy,HP:0006583,PT
C0265565,Congenital pseudoarthrosis of the clavicle,HP:0006585,PT
C1968577,Progressive calcification of costochondral cartilage,HP:0006600,PT
C1827524,Wide intermamillary distance,HP:0006610,PT
C1856223,Decreased number of sternal ossification centers,HP:0006611,PT
C1859121,Sternal punctate calcifications,HP:0006637,PT
C1865241,Large sternal ossification centers,HP:0006642,PT
C1406921,Thoracic dysplasia,HP:0006644,PT
C4021587,Costochondral pain,HP:0006649,PT
C1834383,Thickening of the lateral border of the scapula,HP:0006650,PT
C1968999,Rib segmentation abnormalities,HP:0006655,PT
C4025004,Ventricular preexcitation with multiple accessory pathways,HP:0006684,PT
C4024998,Polymorphic and polytopic ventricular extrasystoles,HP:0006696,PT
C1336840,Papillary renal cell carcinoma type 2,HP:0006732,PT
C1257877,Extraadrenal pheochromocytoma,HP:0006737,PT
C0206656,Embryonal rhabdomyosarcoma,HP:0006743,PT
C1834728,Malignant genitourinary tract tumor,HP:0006758,PT
C4024983,Renal pelvic carcinoma,HP:0006762,PT
C4024980,Cutaneous angiolipomas,HP:0006773,PT
C0206655,Alveolar rhabdomyosarcoma,HP:0006779,PT
C0687150,Parathyroid carcinoma,HP:0006780,PT
C0154681,Abnormal anterior horn cell morphology,HP:0006802,PT
C1855676,Aplasia/Hypoplasia of the cerebellar vermis,HP:0006817,PT
C1389102,Atrophy of the spinal cord,HP:0006827,PT
C1840475,Congenital Horner syndrome,HP:0006837,PT
C1851085,Severe expressive language delay,HP:0006863,PT
C4024973,Midline central nervous system lipomas,HP:0006866,PT
C4024972,Symmetrical progressive peripheral demyelination,HP:0006873,PT
C0006009,"Intellectual disability, borderline",HP:0006889,PT
C1845245,Lower limb hypertonia,HP:0006895,PT
C1866131,Fusion of the cerebellar hemispheres,HP:0006899,PT
C4024967,Congenital peripheral neuropathy,HP:0006903,PT
C1845370,Retrocerebellar cyst,HP:0006951,PT
C1859341,Olivopontocerebellar hypoplasia,HP:0006955,PT
C0522216,Abnormal auditory evoked potentials,HP:0006958,PT
